24

10 30
7 8
2 6 r
7 1 r
4 5 r
4 9 r
1 5 r
7 5 r
1 6 r
1 9 r
7 3 r
7 9 r
4 2 r
7 6 r
5 0 r
3 8 r
6 5 r
5 3 r
2 9 r
7 4 r
9 0 r
5 9 r
5 8 r
4 1 r
3 9 r
3 0 r
9 8 r
0 8 r
4 6 r
2 1 r
1 3 r
7 2 r

50 200
16 47
41 4 m
27 20 m
10 4 m
1 14 m
0 37 m
5 47 m
26 44 m
46 49 m
1 17 m
14 38 m
4 6 m
10 6 m
40 48 m
7 10 m
44 22 m
49 1 m
25 18 m
16 41 m
48 39 m
24 40 m
26 43 m
39 46 m
19 44 m
33 47 m
6 18 m
25 40 m
28 22 m
21 6 m
4 24 m
29 42 m
42 22 m
18 30 m
1 38 m
48 32 m
0 34 m
16 21 m
38 34 m
37 28 m
11 9 m
15 29 m
38 29 m
12 45 m
3 49 m
32 46 m
19 12 m
0 22 m
17 15 m
24 25 m
41 8 m
10 27 m
12 5 m
23 39 m
37 19 m
16 4 m
41 21 m
9 1 m
36 29 m
31 0 m
6 35 m
46 9 m
24 35 m
43 19 m
16 10 m
18 40 m
26 34 m
39 49 m
29 0 m
38 31 m
11 1 m
40 23 m
21 25 m
31 26 m
33 45 m
38 2 m
41 6 m
42 37 m
29 31 m
2 34 m
44 12 m
9 36 m
8 6 m
16 7 m
27 21 m
16 8 m
8 25 m
19 22 m
25 23 m
39 32 m
2 31 m
13 32 m
34 12 m
42 19 m
38 26 m
26 19 m
10 21 m
34 37 m
49 17 m
1 15 m
12 33 m
19 33 m
27 8 m
46 14 m
13 30 m
16 20 m
38 0 m
9 38 m
34 42 m
15 26 m
2 43 m
36 38 m
8 24 m
7 4 m
15 42 m
13 39 m
34 43 m
19 28 m
4 8 m
42 43 m
17 38 m
3 32 m
15 38 m
6 40 m
32 9 m
41 20 m
35 18 m
20 4 m
39 3 m
26 42 m
22 33 m
19 5 m
3 46 m
9 17 m
0 26 m
34 19 m
17 14 m
23 13 m
41 27 m
4 35 m
31 34 m
15 2 m
37 47 m
49 9 m
46 11 m
38 37 m
20 21 m
29 45 m
33 5 m
7 20 m
42 44 m
31 42 m
7 21 m
32 36 m
14 29 m
45 47 m
28 12 m
41 10 m
23 30 m
13 9 m
7 27 m
30 39 m
14 15 m
17 2 m
27 24 m
45 5 m
10 25 m
22 47 m
25 30 m
36 17 m
16 6 m
10 20 m
4 21 m
41 7 m
44 28 m
7 8 m
2 29 m
37 12 m
6 24 m
6 25 m
26 37 m
27 4 m
40 13 m
36 1 m
28 5 m
27 6 m
34 22 m
36 14 m
29 26 m
16 27 m
44 45 m
43 37 m
18 23 m
22 12 m
30 48 m
22 45 m
43 12 m
21 24 m
3 11 m
16 35 m
13 48 m
49 36 m

100 300
75 93
35 15 w
6 61 w
33 63 w
79 62 w
64 32 w
13 52 w
2 42 w
15 66 w
64 47 w
40 25 w
56 20 w
1 88 w
90 28 w
75 82 w
70 81 w
47 42 w
29 1 w
85 10 w
13 99 w
57 65 w
33 17 w
84 4 w
60 29 w
9 21 w
27 8 w
2 64 w
17 0 w
61 11 w
84 34 w
91 50 w
11 38 w
39 87 w
86 72 w
52 21 w
63 37 w
0 5 w
51 94 w
78 12 w
74 78 w
69 13 w
34 6 w
80 4 w
88 4 w
42 19 w
3 95 w
27 29 w
7 55 w
19 51 w
27 1 w
1 80 w
2 98 w
66 91 w
99 26 w
7 79 w
23 4 w
71 69 w
15 91 w
76 56 w
75 85 w
25 66 w
70 74 w
95 9 w
97 16 w
24 27 w
0 54 w
12 63 w
0 67 w
87 59 w
32 42 w
70 97 w
91 48 w
18 39 w
67 7 w
51 39 w
26 95 w
77 4 w
11 31 w
72 32 w
34 53 w
84 53 w
22 31 w
51 40 w
50 93 w
35 25 w
92 11 w
61 43 w
34 61 w
13 3 w
24 60 w
42 39 w
98 64 w
30 11 w
30 31 w
81 12 w
21 86 w
14 63 w
71 44 w
37 65 w
49 50 w
90 86 w
54 5 w
70 16 w
37 0 w
72 18 w
23 61 w
98 45 w
32 19 w
55 41 w
63 57 w
74 81 w
64 72 w
64 18 w
16 74 w
58 48 w
18 42 w
69 99 w
61 38 w
23 6 w
53 43 w
43 92 w
31 71 w
77 23 w
14 33 w
40 58 w
41 62 w
36 46 w
35 58 w
52 86 w
28 86 w
47 19 w
17 57 w
68 82 w
90 2 w
30 71 w
51 87 w
82 97 w
16 78 w
74 12 w
44 69 w
68 10 w
45 32 w
6 43 w
39 40 w
56 62 w
58 49 w
66 49 w
80 88 w
21 28 w
3 52 w
21 2 w
58 91 w
36 7 w
66 48 w
83 54 w
67 5 w
95 90 w
2 45 w
95 21 w
25 58 w
77 84 w
85 82 w
96 48 w
39 94 w
89 20 w
60 27 w
79 41 w
54 7 w
61 92 w
69 95 w
45 18 w
71 95 w
5 46 w
79 89 w
88 23 w
97 12 w
22 30 w
45 72 w
43 30 w
80 23 w
16 81 w
91 49 w
26 3 w
72 19 w
8 80 w
83 67 w
73 39 w
44 13 w
42 73 w
73 87 w
7 46 w
60 1 w
14 12 w
80 34 w
80 84 w
4 6 w
52 2 w
15 25 w
4 34 w
66 50 w
83 36 w
12 33 w
52 90 w
99 3 w
78 81 w
16 14 w
50 96 w
42 51 w
71 99 w
22 92 w
96 93 w
89 24 w
6 53 w
26 9 w
53 61 w
49 96 w
58 96 w
31 38 w
89 60 w
91 93 w
27 23 w
81 17 w
99 21 w
85 70 w
75 78 w
12 17 w
68 70 w
13 26 w
30 69 w
50 48 w
38 71 w
63 83 w
33 57 w
92 30 w
10 82 w
61 22 w
86 98 w
3 9 w
48 93 w
97 78 w
31 69 w
1 23 w
63 17 w
0 46 w
38 44 w
73 51 w
21 32 w
59 15 w
10 70 w
94 15 w
83 0 w
69 26 w
47 51 w
11 71 w
2 86 w
9 52 w
57 37 w
65 54 w
34 43 w
65 0 w
62 24 w
2 28 w
4 43 w
86 64 w
3 21 w
59 58 w
85 68 w
46 76 w
29 77 w
58 50 w
15 58 w
68 81 w
20 27 w
95 52 w
59 35 w
21 90 w
32 18 w
8 77 w
69 3 w
68 16 w
18 73 w
70 78 w
87 40 w
12 57 w
58 66 w
46 56 w
70 14 w
18 47 w
81 14 w
41 56 w
75 68 w
43 22 w
32 47 w
35 66 w
82 70 w
65 83 w
40 35 w
87 35 w
46 55 w
78 14 w
62 20 w

200 300
57 51
170 151 s
192 25 s
91 155 s
166 14 s
81 113 s
37 160 s
99 135 s
151 30 s
64 12 s
10 175 s
79 187 s
117 186 s
0 43 s
160 130 s
86 96 s
19 182 s
25 161 s
118 183 s
84 9 s
167 95 s
108 39 s
80 94 s
87 115 s
114 190 s
153 145 s
20 144 s
192 92 s
44 11 s
104 9 s
29 39 s
165 119 s
59 62 s
168 121 s
57 108 s
80 163 s
99 157 s
111 106 s
55 59 s
36 137 s
30 185 s
14 196 s
28 100 s
28 159 s
36 27 s
193 129 s
131 120 s
182 195 s
107 134 s
46 84 s
135 32 s
141 50 s
123 180 s
11 191 s
23 76 s
48 189 s
175 158 s
18 131 s
13 89 s
150 168 s
127 159 s
187 68 s
57 29 s
139 88 s
147 148 s
78 31 s
5 36 s
172 138 s
153 31 s
70 179 s
17 39 s
91 110 s
50 199 s
141 149 s
63 176 s
113 193 s
182 51 s
76 115 s
52 159 s
133 67 s
116 176 s
79 12 s
75 66 s
74 88 s
159 100 s
14 60 s
93 114 s
21 46 s
65 79 s
107 140 s
79 64 s
68 163 s
56 136 s
173 6 s
88 1 s
72 70 s
199 177 s
57 17 s
162 97 s
63 103 s
108 33 s
105 77 s
19 195 s
139 82 s
187 80 s
123 122 s
106 123 s
2 167 s
99 164 s
151 69 s
109 153 s
161 174 s
174 169 s
152 52 s
83 87 s
57 109 s
24 123 s
50 21 s
12 68 s
7 118 s
70 2 s
26 14 s
151 105 s
183 89 s
88 154 s
21 6 s
103 199 s
91 5 s
165 86 s
145 139 s
43 81 s
128 197 s
85 79 s
39 194 s
197 179 s
27 92 s
97 81 s
56 98 s
41 88 s
22 102 s
101 32 s
134 16 s
69 105 s
196 107 s
47 72 s
101 20 s
63 184 s
106 95 s
168 183 s
9 143 s
14 62 s
199 173 s
7 168 s
120 19 s
178 68 s
35 124 s
95 181 s
88 56 s
154 98 s
154 152 s
199 46 s
173 104 s
167 4 s
143 59 s
36 192 s
71 22 s
148 138 s
195 112 s
188 170 s
96 147 s
149 199 s
49 16 s
24 99 s
43 125 s
106 181 s
44 54 s
187 178 s
144 38 s
66 73 s
86 172 s
172 162 s
88 98 s
45 86 s
81 58 s
180 71 s
11 133 s
147 142 s
32 144 s
71 101 s
71 61 s
98 152 s
152 28 s
45 165 s
116 63 s
129 116 s
46 177 s
17 78 s
171 85 s
125 193 s
161 169 s
140 54 s
65 85 s
16 44 s
156 10 s
15 60 s
113 129 s
161 72 s
104 198 s
50 46 s
1 56 s
86 119 s
35 9 s
159 165 s
42 188 s
131 13 s
1 136 s
74 139 s
172 0 s
87 73 s
128 174 s
76 83 s
78 153 s
90 141 s
185 18 s
19 40 s
38 69 s
155 27 s
174 2 s
69 7 s
72 132 s
145 74 s
124 55 s
12 80 s
54 93 s
31 145 s
27 192 s
115 91 s
164 102 s
73 110 s
98 45 s
92 47 s
60 196 s
54 3 s
180 164 s
118 131 s
62 117 s
59 26 s
106 24 s
151 150 s
188 30 s
190 171 s
183 120 s
177 173 s
73 53 s
31 139 s
157 71 s
164 22 s
175 126 s
178 12 s
121 183 s
104 55 s
53 155 s
25 132 s
15 166 s
102 48 s
184 90 s
198 55 s
10 63 s
94 75 s
122 180 s
56 28 s
125 146 s
181 8 s
12 23 s
167 24 s
114 65 s
103 141 s
9 198 s
163 75 s
172 147 s
137 25 s
166 62 s
146 113 s
82 154 s
194 41 s
47 128 s
46 35 s
59 15 s
129 58 s
47 161 s
183 37 s
83 73 s
17 109 s
101 48 s
113 156 s
56 127 s
70 111 s
107 49 s
155 34 s
20 42 s
73 5 s

300 300
49 117
28 7 e
222 34 e
58 180 e
216 264 e
225 167 e
80 103 e
161 80 e
167 30 e
25 136 e
168 296 e
180 266 e
13 233 e
290 198 e
133 244 e
122 0 e
50 155 e
266 131 e
215 193 e
152 97 e
42 132 e
30 3 e
207 39 e
16 175 e
179 161 e
61 135 e
157 83 e
76 202 e
241 104 e
9 114 e
143 23 e
56 86 e
84 153 e
165 299 e
205 38 e
126 235 e
49 288 e
263 145 e
6 124 e
150 195 e
128 127 e
241 229 e
110 165 e
107 217 e
283 66 e
127 90 e
30 112 e
55 182 e
42 32 e
194 95 e
151 220 e
198 248 e
179 101 e
125 271 e
105 91 e
10 290 e
142 265 e
107 245 e
1 138 e
20 47 e
47 143 e
71 45 e
17 284 e
138 48 e
113 139 e
250 185 e
41 15 e
255 52 e
276 236 e
158 218 e
82 13 e
60 246 e
5 169 e
167 230 e
85 120 e
205 176 e
55 164 e
83 99 e
211 166 e
184 204 e
267 213 e
297 125 e
147 67 e
298 87 e
39 75 e
253 277 e
274 107 e
232 9 e
247 238 e
63 44 e
182 46 e
113 110 e
45 76 e
183 1 e
205 239 e
31 243 e
62 35 e
125 171 e
237 26 e
275 5 e
159 85 e
264 43 e
7 189 e
85 295 e
112 232 e
185 285 e
119 55 e
52 19 e
49 74 e
256 134 e
154 21 e
206 51 e
72 96 e
46 203 e
265 279 e
260 211 e
212 197 e
157 163 e
139 255 e
99 56 e
23 156 e
116 286 e
124 40 e
222 122 e
291 31 e
264 65 e
253 242 e
103 219 e
137 187 e
31 222 e
165 37 e
269 208 e
262 137 e
218 215 e
91 27 e
68 82 e
87 57 e
215 128 e
169 188 e
261 17 e
209 71 e
227 200 e
20 28 e
3 18 e
177 184 e
232 116 e
103 234 e
97 36 e
249 11 e
98 78 e
241 16 e
178 225 e
114 157 e
170 61 e
83 221 e
267 249 e
175 109 e
272 41 e
259 196 e
204 64 e
11 283 e
13 223 e
54 257 e
179 72 e
56 60 e
200 272 e
246 121 e
256 270 e
136 2 e
178 172 e
289 259 e
134 262 e
141 154 e
241 4 e
233 98 e
14 33 e
133 250 e
226 141 e
50 119 e
136 260 e
287 10 e
257 77 e
36 117 e
150 102 e
145 160 e
127 183 e
191 24 e
228 113 e
270 280 e
104 214 e
42 129 e
245 53 e
240 237 e
53 88 e
77 251 e
12 241 e
74 73 e
282 54 e
109 25 e
22 268 e
290 240 e
115 174 e
102 173 e
67 192 e
280 130 e
111 227 e
214 276 e
63 282 e
239 281 e
185 106 e
298 181 e
295 123 e
110 278 e
159 108 e
288 292 e
33 133 e
195 142 e
109 14 e
164 293 e
257 151 e
253 168 e
149 269 e
137 115 e
149 273 e
37 297 e
290 254 e
131 112 e
235 6 e
93 216 e
131 294 e
76 69 e
188 226 e
257 93 e
183 144 e
23 58 e
207 8 e
169 42 e
228 162 e
64 263 e
57 287 e
45 210 e
86 148 e
291 224 e
138 12 e
56 201 e
298 150 e
148 274 e
253 209 e
291 118 e
108 261 e
58 178 e
285 256 e
46 179 e
223 191 e
94 63 e
232 177 e
35 146 e
187 205 e
285 231 e
36 140 e
166 84 e
75 50 e
272 275 e
239 253 e
154 291 e
114 206 e
189 89 e
271 190 e
242 149 e
173 194 e
153 105 e
66 94 e
278 158 e
136 170 e
78 59 e
29 252 e
233 111 e
107 199 e
8 267 e
219 159 e
288 228 e
217 100 e
107 68 e
24 126 e
237 20 e
284 298 e
137 289 e
202 207 e
82 92 e
97 212 e
198 247 e
155 29 e
135 186 e
89 81 e
202 22 e
191 70 e
171 62 e
47 258 e
30 79 e
144 147 e
34 152 e

5 5
3 0
3 4 h
2 1 b
4 2 v
4 1 p
3 0 d

8 15
3 0
7 6 t
1 0 t
4 0 t
6 1 t
2 0 y
2 1 d
7 0 t
2 7 t
3 2 t
6 4 t
3 6 p
2 5 t
2 6 e
3 5 i
5 7 t

10 15
4 3
4 0 u
6 5 p
9 8 h
4 8 v
2 8 a
4 6 a
9 5 z
0 2 a
2 1 a
1 7 a
0 7 a
2 3 a
9 0 n
4 9 a
6 9 p

10 15
8 4
8 1 p
1 9 s
9 7 s
0 3 r
6 7 s
1 5 s
8 5 t
6 4 s
8 0 s
5 6 s
6 9 s
9 2 s
3 5 s
8 3 s
7 4 s

10 20
8 4
2 1 z
5 3 g
1 4 g
8 2 g
1 0 g
3 6 g
6 7 g
9 4 g
5 9 g
3 1 g
7 4 g
2 5 f
0 4 g
5 6 g
6 9 g
8 6 a
0 7 g
1 9 g
8 5 l
9 7 g

20 50
5 9
3 9 x
6 1 x
18 6 x
16 1 x
7 8 x
0 10 e
10 4 x
17 10 x
0 17 x
15 18 x
16 6 x
2 1 x
15 3 x
0 14 h
2 16 x
2 18 x
13 4 x
7 6 x
19 13 x
14 11 x
17 14 x
4 7 x
5 0 x
13 12 x
3 6 x
13 11 x
10 12 x
8 15 x
19 10 x
11 7 x
8 3 x
5 14 u
11 12 x
6 9 x
18 3 x
5 17 z
8 2 x
17 19 x
15 16 x
13 10 x
11 4 x
0 13 q
12 8 x
10 8 x
17 11 x
15 2 x
4 2 x
12 7 x
3 1 x
8 18 x

25 70
14 10
15 23 j
11 1 j
1 18 j
8 6 j
19 24 j
16 20 j
15 1 j
24 6 j
13 23 j
22 7 j
20 7 j
22 21 j
12 17 j
22 9 j
13 11 j
5 17 j
4 3 j
12 19 d
9 21 j
12 5 j
21 2 j
16 0 j
0 4 j
12 16 a
3 11 j
16 19 j
14 12 j
11 15 j
23 18 j
9 8 j
18 10 j
17 16 j
3 13 j
14 5 j
7 19 j
16 22 j
16 7 j
19 0 j
11 10 j
7 9 j
4 13 j
1 23 j
4 23 j
24 2 j
4 2 j
2 15 j
20 9 j
8 4 j
14 17 j
6 3 j
6 2 j
8 24 j
2 3 j
13 15 j
22 19 j
3 15 j
14 20 r
19 4 j
11 23 j
12 22 r
4 24 j
21 24 j
14 19 g
3 23 j
14 16 i
5 16 j
23 10 j
8 2 j
17 20 j
20 22 j

30 100
0 24
29 12 i
1 17 q
19 15 q
6 2 q
17 26 q
3 17 q
18 7 q
10 6 q
29 16 w
23 21 q
26 5 q
22 24 q
15 7 q
18 12 q
6 22 q
23 10 q
7 9 q
10 28 q
28 5 q
16 19 q
2 11 q
0 12 g
25 14 q
7 3 q
29 18 q
5 24 q
14 1 q
16 15 q
12 15 q
16 12 q
26 2 q
4 16 q
2 24 q
23 26 q
12 8 q
4 15 q
28 13 q
16 9 q
5 13 q
1 21 q
20 1 q
13 24 q
20 25 q
7 20 q
6 13 q
18 8 q
5 2 q
4 18 q
11 24 q
18 19 q
13 11 q
9 25 q
20 27 q
19 7 q
0 29 q
25 3 q
5 22 q
25 1 q
29 4 q
3 27 q
8 9 q
29 19 d
1 23 q
15 9 q
19 1 q
0 18 a
